total time excited,233267,
total time image,49871.1,
total number of excited,84277,
total number of image,12441,
average time excited,2.76786,
average time image,4.00861,
2018-02-13-22-07-26-627,excited,2.708
2018-02-13-22-07-44-321,excited,2.675
2018-02-13-22-08-10-504,excited,2.699
2018-02-13-22-09-57-868,excited,2.675
2018-02-13-22-10-48-874,excited,2.67
2018-02-13-22-12-53-697,excited,2.671
2018-02-13-22-21-39-590,excited,2.688
2018-02-13-22-22-29-471,excited,2.681
2018-02-13-22-22-48-304,excited,2.674
2018-02-13-22-24-18-880,excited,2.685
2018-02-13-22-28-36-140,excited,2.673
2018-02-13-22-37-56-973,excited,2.674
2018-02-13-22-38-26-520,excited,2.667
2018-02-13-22-39-14-340,excited,2.683
2018-02-13-22-39-20-155,excited,2.681
2018-02-13-22-44-15-209,excited,2.691
2018-02-13-22-52-47-466,excited,0.216
2018-02-13-22-53-13-749,Image,26.282
2018-02-13-22-53-15-766,excited,2.018
2018-02-13-22-53-33-366,excited,0.12
2018-02-13-22-53-38-877,Image,5.51
2018-02-13-22-53-40-901,excited,2.024
2018-02-13-22-53-44-990,excited,0.12
2018-02-13-22-53-46-191,Image,1.201
2018-02-13-22-53-48-219,excited,2.029
2018-02-13-23-02-11-380,excited,2.678
2018-02-13-23-05-30-181,excited,2.709
2018-02-13-23-05-39-306,excited,0.119
2018-02-13-23-05-40-600,Image,1.294
2018-02-13-23-05-40-906,excited,0.306
2018-02-13-23-05-41-382,Image,0.476
2018-02-13-23-05-41-503,excited,0.121
2018-02-13-23-05-41-915,Image,0.412
2018-02-13-23-05-43-915,excited,1.999
2018-02-13-23-06-26-563,excited,2.693
2018-02-13-23-06-56-613,excited,2.676
2018-02-13-23-07-03-929,excited,2.691
2018-02-13-23-08-51-125,excited,2.67
2018-02-13-23-12-15-307,excited,2.68
2018-02-13-23-20-35-015,excited,2.686
2018-02-13-23-21-49-427,excited,2.661
2018-02-13-23-24-08-208,excited,2.674
2018-02-13-23-35-37-890,excited,2.695
2018-02-13-23-50-23-337,excited,2.707
2018-02-13-23-55-02-101,excited,2.664
2018-02-14-00-00-47-439,excited,2.673
2018-02-14-00-11-45-451,excited,2.674
2018-02-14-00-16-35-307,excited,2.688
2018-02-14-00-17-16-685,excited,2.684
2018-02-14-00-19-52-886,excited,2.696
2018-02-14-00-20-04-053,excited,2.666
2018-02-14-00-20-07-319,excited,0.117
2018-02-14-00-20-08-033,Image,0.713
2018-02-14-00-20-10-075,excited,2.042
2018-02-14-00-20-17-606,excited,2.696
2018-02-14-00-48-15-582,excited,2.67
2018-02-14-00-52-30-988,excited,2.699
2018-02-14-00-58-10-980,excited,2.67
2018-02-14-00-59-28-648,excited,2.686
2018-02-14-01-03-31-875,excited,2.668
2018-02-14-01-03-36-680,excited,2.658
2018-02-14-01-03-45-028,excited,2.69
2018-02-14-01-04-59-623,excited,2.666
2018-02-14-01-07-12-215,excited,2.698
2018-02-14-01-09-28-481,excited,2.701
2018-02-14-01-09-38-271,excited,2.69
2018-02-14-01-14-57-463,excited,2.685
2018-02-14-01-15-51-758,excited,2.678
2018-02-14-01-16-30-026,excited,2.684
2018-02-14-01-17-26-031,excited,2.672
2018-02-14-01-18-10-026,excited,2.699
2018-02-14-01-19-12-938,excited,2.682
2018-02-14-01-19-28-862,excited,2.667
2018-02-14-01-32-11-278,excited,2.687
2018-02-14-01-32-33-534,excited,2.708
2018-02-14-01-36-29-934,excited,2.669
2018-02-14-02-00-39-362,excited,2.71
2018-02-14-02-37-44-319,excited,2.693
2018-02-14-02-48-46-642,excited,2.674
2018-02-14-02-52-29-266,excited,2.691
