total time excited,811.159,
total time image,54.92,
total number of excited,227,
total number of image,18,
average time excited,3.57339,
average time image,3.05111,
2018-02-20-21-19-55-616,excited,2.701
2018-02-20-21-20-35-613,excited,2.703
2018-02-20-21-20-48-301,excited,2.674
2018-02-20-21-21-20-286,excited,2.705
2018-02-20-21-21-34-792,excited,2.679
2018-02-20-21-21-42-811,excited,2.678
2018-02-20-21-23-22-600,excited,2.699
2018-02-20-21-23-52-938,excited,2.68
2018-02-20-21-24-03-971,excited,2.704
2018-02-20-21-24-20-775,excited,2.659
2018-02-20-21-24-35-021,excited,2.695
2018-02-20-21-25-49-741,excited,2.665
2018-02-20-21-26-29-657,excited,2.714
2018-02-20-21-27-31-062,excited,2.696
2018-02-20-21-27-34-649,excited,2.695
2018-02-20-21-28-17-632,excited,2.69
2018-02-20-21-30-22-148,excited,2.672
2018-02-20-21-32-49-104,excited,2.72
2018-02-20-21-33-37-939,excited,2.701
